location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Syokimau,4 Bed Townhouse with En Suite in Syokimau,20000000.0,2023-06-19,Landmark Top Solutions,"Walk In Closet, En Suite, Fibre Internet","Balcony, Parking, Staff Quarters, Electric Fence, Garden","Hospital, Scenic View, School, Shopping Centre, Bus Stop",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-syokimau-3563439
 Syokimau,5 Bed Townhouse with En Suite in Syokimau,15500000.0,2023-06-29,Cloud Real Estate,"En Suite, Fibre Internet, Walk In Closet","Balcony, Parking, Borehole, Garden","Bus Stop, Hospital, Scenic View, Shopping Centre, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-syokimau-3534743
 The Green Heart Village,1 Bed House with Garden at The Green Heart Village,,2023-06-05,Ryden International,Garden,Scenic View,nan,https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-kilifi-town-3553499
,Development,4500000.0,2023-06-12,RockSand Homes,nan,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-1-3556693
 Kyuna,4 Bed Townhouse with En Suite in Kyuna,55000000.0,2023-05-24,Pam Golding Properties,En Suite,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kyuna-3592608
 Near Burguret Nanyuki,3 Bed House with Garden at Near Burguret Nanyuki,40000000.0,2023-06-05,Ryden International,"Garden, Parking",Scenic View,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nanyuki-3555110
ha Heights,4 Bed House with En Suite at Muchatha Heights,14500000.0,2023-07-03,Mahalo Properties Limited,"Fibre Internet, En Suite","Wheelchair Access, Parking, Staff Quarters, Borehole","Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muchatha-3467493
 Karen Miotoni,5 Bed House with En Suite at Karen Miotoni,120000000.0,2023-07-01,Mapema Properties,"Alarm, Backup Generator, En Suite, Furnished, Serviced, Walk In Closet","Balcony, Electric Fence, CCTV, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-5-bedroom-house-for-sale-karen-1-3579630
 Karen,6 Bed House with En Suite at Karen,150000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Serviced, Walk In Closet","CCTV, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-karen-1-3583320
 Karen,5 Bed Villa with En Suite in Karen,90000000.0,2023-05-24,Splendor Holdings,"Alarm, En Suite, Backup Generator, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Swimming Pool, Staff Quarters, Wheelchair Access","Hospital, School, Scenic View, Golf Course, Bus Stop",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3466230
 Kyuna Road,6 Bed House with En Suite at Kyuna Road,300000000.0,2023-07-07,Rockfield Management Ltd,"Walk In Closet, Backup Generator, En Suite, Fibre Internet, Alarm, Service Charge Included","Balcony, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Garden, Electric Fence, CCTV","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kyuna-1-3558388
 Nyali Area,3 Bed House with En Suite in Nyali Area,100000000.0,2023-04-19,Furaha Properties,"En Suite, Walk In Closet","Balcony, Gym, Garden, Borehole, Wheelchair Access, Electric Fence, CCTV, Staff Quarters, Parking, Swimming Pool","School, Hospital, Shopping Centre, Scenic View",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nyali-area-3580987
 Runda,5 Bed Townhouse with En Suite at Runda,650000000.0,2023-07-06,Trisums Investments Company Ltd,En Suite,"Balcony, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3540980
 Kerarapon Drive,7 Bed House with En Suite at Kerarapon Drive,35000000.0,2023-07-03,Afrique Properties Limited,"En Suite, Walk In Closet","Balcony, Parking, Garden","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-karen-1-3527760
 Comboni,10 Bed Villa at Comboni,550000000.0,2023-05-25,magdalene Kingori,nan,nan,nan,https://www.buyrentkenya.com/listings/10-bedroom-villa-for-sale-karen-3597457
 Kiambu Road,3 Bed House with En Suite in Kiambu Road,50000000.0,2023-05-24,Crystal Valuers LTD,En Suite,"Balcony, CCTV, Borehole, Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-3594451
 Nyali Area,4 Bed Townhouse with En Suite in Nyali Area,40500000.0,2023-06-17,Arneel Homes,"Aircon, Backup Generator, Fibre Internet, Walk In Closet, En Suite, Alarm","Balcony, CCTV, Borehole, Gym, Staff Quarters, Wheelchair Access, Swimming Pool, Parking, Garden, Electric Fence, BBQ","Bus Stop, Hospital, School, Sea View, Scenic View, Golf Course",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-1-3488671
 Off South Lake Road,4 Bed House with En Suite at Off South Lake Road,165000000.0,2023-06-05,Ryden International,"Backup Generator, En Suite","Staff Quarters, Swimming Pool, Parking, Borehole, Garden",Scenic View,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-naivasha-3551950
 South C,4 Bed Townhouse with En Suite in South C,22000000.0,2023-05-24,Splendor Holdings,"Backup Generator, Alarm, Fibre Internet, En Suite, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Staff Quarters, Parking, Garden, Wheelchair Access","Golf Course, Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-2-3484163
